Variables,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,PX_OPEN,PX_LOW,PX_HIGH,EQY_WEIGHTED_AVG_PX,VWAP_VOLUME,VWAP_TURNOVER,VWAP_NUM_TRADES,NEWS_SENTIMENT_DAILY_AVG,NEWS_NEUTRAL_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_PUBLICATION_COUNT
03/09/18,0.0056,506,26,26,325,226.64,226.23,228.87,227.627,12050259,2742964577,40176,0.0404,84,16,9,1370
04/09/18,0.0181,781,66,52,470,228.59,226.64,229.17,228.1871,6825357,1557458743,35815,0.224,92,55,16,1969
05/09/18,0.0388,1866,237,96,1080,229,225.11,229.67,227.171,8033462,1824969826,40595,0.3353,191,130,16,3053
06/09/18,-0.0088,1549,98,105,1035,226.61,221.3,227.33,223.6121,7891071,1764538756,45501,0.1154,213,78,33,2569
07/09/18,-0.0118,1527,107,111,976,221.94,220.71,225.37,222.7858,9147932,2038029125,49106,0.282,237,141,28,2795
10/09/18,-0.0071,1124,48,72,767,221,216.47,221.85,218.3552,10847426,2368591336,52168,0.2649,170,102,43,2943
11/09/18,-0.0128,2292,141,188,1546,217.91,216.56,224.29,222.1401,8016620,1780812999,42425,0.2084,300,156,52,4046
12/09/18,0.0094,2957,222,120,2106,224.97,219.84,225,221.7181,10437517,2314186945,53845,0.3988,415,331,71,5034
13/09/18,-0.0026,10560,397,442,8033,223.51,222.58,228.35,225.883,8820793,1992467030,44572,0.2676,1768,1094,160,15332
14/09/18,0.0092,3629,282,180,2668,225.5,222.53,226.84,224.2813,7449262,1670729821,36719,0.2476,562,323,43,6389
17/09/18,-0.0099,1082,45,84,747,222,217.27,222.95,219.2614,9404738,2062096334,46232,0.2219,112,65,22,2566
18/09/18,-0.0117,3071,146,256,2188,217.68,217.12,221.8,219.0523,7191940,1575410886,36119,0.0676,476,138,37,4826
19/09/18,-0.0071,1870,108,117,1312,218.5,215.3,219.6,217.7265,6477271,1410273281,32561,0.0755,362,108,41,4088
20/09/18,0.0084,1609,111,92,1085,220.32,219.15,222.28,220.5095,7696176,1697080216,31538,0.0881,222,71,43,3088
21/09/18,0.0044,1592,80,69,1096,221,217.3,221.35,218.3417,47922379,10463452512,39003,0.1669,239,110,16,3933
24/09/18,-0.0041,755,25,36,490,216.72,216.63,221.25,219.7652,7627779,1676320040,32171,0.0963,98,33,10,1711
25/09/18,0.0097,1762,130,76,1207,219.73,219.71,222.82,221.7594,6924145,1535494007,25475,0.2576,275,159,27,3470
26/09/18,-0.006,1626,94,96,1132,221.15,219.8,223.75,221.337,6524724,1444162741,25041,0.0955,316,103,32,3278
27/09/18,0.012,1520,117,72,1004,223.99,223.57,226.44,225.0548,7943164,1787646834,31860,0.1575,199,85,36,2715
28/09/18,0.0279,1713,188,110,1062,224.8,224.05,225.84,225.3166,6924828,1560279034,26688,0.2915,195,123,27,3033
01/10/18,0.0038,731,33,31,508,227.95,226.35,229.42,227.9029,4862186,1108106208,25394,0.1157,62,26,23,1544
02/10/18,0.01,1128,85,48,774,227.23,226.67,229.99,229.054,5406263,1238326388,27018,0.1123,168,61,17,2132
03/10/18,0.0125,1564,119,60,969,230.05,229.78,233.47,232.092,5817435,1350180291,28786,0.0689,224,67,13,2308
04/10/18,0.0106,1854,88,59,782,230.78,226.74,232.33,228.6355,6703813,1532729557,32197,0.1287,180,71,21,2325
05/10/18,-0.0124,1671,53,75,630,227.96,220.6,228.13,224.459,6669941,1497128353,34308,-0.0618,188,49,53,2817
08/10/18,-0.0134,656,20,36,292,222.06,220.2,224.8,223.0314,6459336,1440635025,30094,-0.1294,68,26,28,1815
09/10/18,-0.0196,1426,37,85,562,223.6,222.25,227.27,225.8335,5172212,1168058535,27491,0.1337,146,55,23,2535
10/10/18,-0.0039,1378,41,48,693,225.5,216.06,226.35,219.3878,10268569,2252798636,40855,0.0871,151,46,33,3168
11/10/18,-0.0141,2433,107,111,869,214.53,212.34,219.48,215.4472,10563883,2275958754,51452,0.2462,212,116,37,3549
12/10/18,-0.0063,1836,52,66,755,221.2,216.85,222.88,220.9774,9749619,2154445178,42741,0.2634,168,103,27,2799
15/10/18,-0.0037,595,14,20,289,221.04,217.27,221.83,218.482,6430598,1404970057,30183,0.1157,88,34,11,1893
16/10/18,-0.0181,1535,56,96,675,218.93,216.8,222.99,220.6777,6680698,1474281304,30250,0.2119,147,77,33,3057
17/10/18,-0.006,1653,53,70,834,222.15,219.35,222.64,221.1558,5357019,1184735997,21527,0.1326,151,60,19,2623
18/10/18,-0.0056,1361,28,52,641,217.86,214.86,219.71,216.7901,7249976,1571722919,34747,0.148,188,81,40,2591
19/10/18,-0.0126,1652,47,85,705,218.04,217.43,221.26,219.1199,7744841,1697048821,30406,0.1917,241,119,27,3289
22/10/18,-0.0045,492,16,18,231,219.66,219.44,223.36,221.0607,6243203,1380126804,27790,0.1912,64,35,6,1712
23/10/18,-0.017,1293,47,77,567,215.58,214.7,223.25,219.3712,7826496,1716908197,41026,0.1275,201,79,36,2712
24/10/18,-0.0121,1934,50,98,874,222.7,214.55,224.23,218.07,8415947,1835265370,37249,0.0745,361,100,71,3270
25/10/18,-0.0158,2138,50,122,926,217.51,216.75,221.36,219.4726,7483092,1642333539,29715,-0.0766,312,91,87,3381
26/10/18,-0.0084,1750,35,72,731,215.98,212.67,220.18,216.1939,10158668,2196241651,43951,0.0747,183,54,21,3020
29/10/18,-0.0142,758,32,42,334,219.19,206.95,219.68,214.0605,10723131,2295398516,52368,0.1672,94,44,15,2274
30/10/18,-0.0223,2389,73,152,936,211.15,209.27,215.18,212.8848,9193942,1957250610,42693,0.209,259,132,38,3353
31/10/18,0.0022,3905,118,81,2242,216.98,216.64,220.45,218.8223,9864594,2158593441,39865,0.2161,816,441,92,7120
01/11/18,0.017,2615,163,99,1129,219.03,216.81,222.36,217.3501,12061709,2621614021,59990,0.1292,320,125,49,3443
02/11/18,-0.0736,14269,764,1209,4235,209.55,205.44,213.64,208.0385,19624707,4082695315,95267,0.7527,380,664,119,6559
05/11/18,-0.0509,1384,39,122,523,204.39,198.17,204.39,201.2456,12521115,2519819487,62171,0.2153,126,70,19,2628
06/11/18,-0.0655,3977,132,330,1205,201.82,201.69,204.71,203.3137,7197565,1463363905,35228,-0.2975,214,129,146,4588
07/11/18,-0.0189,2016,63,96,650,206,204.14,210,207.8879,8166380,1697691190,36883,0.1219,132,51,18,3033
08/11/18,-0.0232,1995,55,108,671,210.04,206.75,210.12,208.2879,5749569,1197565750,26499,0.1106,172,62,59,2903
09/11/18,0.0116,1300,54,40,466,205.55,202.26,206.01,204.2571,8525186,1741329362,37137,0.1389,127,51,20,2423
12/11/18,-0.0734,861,36,93,335,199.01,193.79,199.85,195.5496,11887307,2324558147,64092,0.2043,64,35,24,1686
13/11/18,-0.2556,4140,114,676,1172,191.72,191.47,197.18,193.3709,9032023,1746530329,47892,-0.7194,183,122,325,5532
14/11/18,-0.0564,2682,75,228,919,193.82,185.93,194.48,188.5381,12072925,2276206151,60046,-0.2377,183,114,111,3610
15/11/18,-0.0913,4661,140,460,1448,188.46,186.9,191.96,190.1681,11337667,2156062645,54916,0.2337,210,136,129,4451
16/11/18,-0.0113,2628,91,105,909,190.53,189.47,194.94,192.963,9642851,1860713835,42973,0.1588,188,86,30,3125
19/11/18,-0.0817,1137,21,163,509,190,184.99,190.7,186.7174,9729514,1816669592,45228,-0.4324,87,55,82,2380
20/11/18,-0.1756,3316,52,445,957,178.05,175.53,181.47,178.1694,14981141,2669180825,70629,-0.7768,141,81,266,5057
21/11/18,-0.1054,3163,82,327,916,179.56,176.55,180.27,177.8049,7151248,1271526940,32302,-0.2319,192,100,118,4299
22/11/18,-0.0436,1724,42,158,664,179.56,176.55,180.27,177.8049,7151248,1271526940,32302,0.124,174,70,64,3233
23/11/18,-0.0476,831,30,82,340,174.96,172.14,176.57,173.6203,5055551,877746122.3,21053,-0.1021,105,35,35,2699
26/11/18,-0.0329,907,20,74,385,174.18,170.27,174.95,173.4862,9786883,1697889340,40704,-0.4126,82,25,62,1888
27/11/18,-0.0532,4224,148,337,1379,171.48,170.9,174.75,173.3735,8446589,1464414308,41009,-0.6527,163,111,251,4000
28/11/18,-0.0277,2555,58,153,869,176.74,174.93,181.25,178.7964,10582973,1892197256,52742,0.2329,197,123,88,3529
29/11/18,-0.0133,2552,100,103,861,182.73,177.7,182.8,179.5792,8054515,1446423610,42984,0.1771,174,86,45,2657
30/11/18,-0.0151,2065,51,103,765,180.33,177.03,180.33,178.4675,11293992,2015611006,34054,0.1235,149,59,39,2280
03/12/18,-0.0104,1054,33,36,325,184.45,181.22,184.94,183.5947,10025736,1840672039,43596,0.2352,74,42,10,1986
